et,contrast,log_or,se,z,p,or,or_ci_low,or_ci_high
Non Ethnics,Femme vs Control,-0.6385430465223464,0.35909988561036627,-1.7781766915269475,0.07537483982829407,0.5280612244912466,0.26122352453830994,1.0674714587977312
Non Ethnics,FonFemme vs Control,-0.5859330962500475,0.35534015718969875,-1.6489357715267923,0.09916079373579945,0.556586270873515,0.27737086530918115,1.1168738886096399
President Coethnics,Femme vs Control,-0.5306282510621372,0.5195523255586402,-1.0213182098484264,0.30710370168894174,0.5882352941176666,0.21247077931961486,1.6285569354701088
President Coethnics,FonFemme vs Control,0.39304258810706205,0.6202595019311142,0.6336744328516764,0.5262933137367694,1.4814814814777109,0.43925901184955035,4.996567675914012
Wife Coethnics,Femme vs Control,-0.3848458209055023,0.5460639582985912,-0.7047632700473269,0.4809575697976647,0.6805555555555055,0.2333697486430501,1.984643969025656
Wife Coethnics,FonFemme vs Control,1.0353500918900163,0.43384814607272765,2.3864342887302703,0.017012647396156932,2.816091954022631,1.203227735732907,6.590916796545144
